participant_id,key,framing,action_type,question,value
106,Republican,ThinkBelieve,Truth Dependent,Action,-1
106,Republican,ThinkBelieve,Truth Dependent,Certainty,0
107,Chickens,ThinkBelieve,Truth Dependent,Action,-1
107,Chickens,ThinkBelieve,Truth Dependent,Certainty,-1
108,Jesus,BinaryProbable,Truth Dependent,Action,2
108,Jesus,BinaryProbable,Truth Dependent,Certainty,-3
109,Republican,ThinkBelieve,Symbolic,Action,0
109,Republican,ThinkBelieve,Symbolic,Certainty,-1
110,Republican,Directionality,Symbolic,Action,-3
110,Republican,Directionality,Symbolic,Certainty,-3
111,Aliens,BinaryProbable,Symbolic,Action,1
111,Aliens,BinaryProbable,Symbolic,Certainty,1
112,AI,Directionality,Truth Dependent,Action,2
112,AI,Directionality,Truth Dependent,Certainty,3
113,Jesus,BinaryProbable,Truth Dependent,Action,-2
113,Jesus,BinaryProbable,Truth Dependent,Certainty,-3
114,Republican,Directionality,Truth Dependent,Action,-1
114,Republican,Directionality,Truth Dependent,Certainty,-3
115,Aliens,Directionality,Symbolic,Action,1
115,Aliens,Directionality,Symbolic,Certainty,1
116,Republican,ThinkBelieve,Symbolic,Action,-3
116,Republican,ThinkBelieve,Symbolic,Certainty,-3
117,Aliens,ThinkBelieve,Truth Dependent,Action,-3
117,Aliens,ThinkBelieve,Truth Dependent,Certainty,-2
118,AI,Directionality,Truth Dependent,Action,2
118,AI,Directionality,Truth Dependent,Certainty,2
119,Jesus,Directionality,Symbolic,Action,-3
119,Jesus,Directionality,Symbolic,Certainty,-3
120,Jesus,BinaryProbable,Symbolic,Action,-3
120,Jesus,BinaryProbable,Symbolic,Certainty,-2
121,AI,ThinkBelieve,Truth Dependent,Action,-2
121,AI,ThinkBelieve,Truth Dependent,Certainty,-3
122,Aliens,ThinkBelieve,Symbolic,Action,0
122,Aliens,ThinkBelieve,Symbolic,Certainty,-1
123,AI,BinaryProbable,Truth Dependent,Action,-2
123,AI,BinaryProbable,Truth Dependent,Certainty,-3
124,Republican,BinaryProbable,Symbolic,Action,0
124,Republican,BinaryProbable,Symbolic,Certainty,1
125,Aliens,BinaryProbable,Truth Dependent,Action,-3
125,Aliens,BinaryProbable,Truth Dependent,Certainty,-3
126,Chickens,ThinkBelieve,Truth Dependent,Action,-2
126,Chickens,ThinkBelieve,Truth Dependent,Certainty,-2
127,AI,Directionality,Truth Dependent,Action,3
127,AI,Directionality,Truth Dependent,Certainty,-3
128,Aliens,ThinkBelieve,Truth Dependent,Action,-2
128,Aliens,ThinkBelieve,Truth Dependent,Certainty,-3
129,Chickens,ThinkBelieve,Symbolic,Action,2
129,Chickens,ThinkBelieve,Symbolic,Certainty,2
130,Aliens,BinaryProbable,Symbolic,Action,3
130,Aliens,BinaryProbable,Symbolic,Certainty,3
131,Chickens,Directionality,Truth Dependent,Action,-2
131,Chickens,Directionality,Truth Dependent,Certainty,-2
132,Jesus,Directionality,Symbolic,Action,3
132,Jesus,Directionality,Symbolic,Certainty,3
133,AI,BinaryProbable,Truth Dependent,Action,-3
133,AI,BinaryProbable,Truth Dependent,Certainty,-3
134,AI,BinaryProbable,Symbolic,Action,-2
134,AI,BinaryProbable,Symbolic,Certainty,2
135,Jesus,Directionality,Truth Dependent,Action,-2
135,Jesus,Directionality,Truth Dependent,Certainty,-2
136,Jesus,Directionality,Symbolic,Action,-2
136,Jesus,Directionality,Symbolic,Certainty,-2
137,Jesus,ThinkBelieve,Symbolic,Action,-2
137,Jesus,ThinkBelieve,Symbolic,Certainty,-3
138,Republican,ThinkBelieve,Truth Dependent,Action,-3
138,Republican,ThinkBelieve,Truth Dependent,Certainty,-3
139,Republican,Directionality,Symbolic,Action,1
139,Republican,Directionality,Symbolic,Certainty,2
140,AI,BinaryProbable,Symbolic,Action,3
140,AI,BinaryProbable,Symbolic,Certainty,3
141,Republican,ThinkBelieve,Symbolic,Action,-3
141,Republican,ThinkBelieve,Symbolic,Certainty,-3
142,AI,ThinkBelieve,Truth Dependent,Action,0
142,AI,ThinkBelieve,Truth Dependent,Certainty,-2
143,Aliens,BinaryProbable,Truth Dependent,Action,2
143,Aliens,BinaryProbable,Truth Dependent,Certainty,-2
144,Aliens,BinaryProbable,Symbolic,Action,-1
144,Aliens,BinaryProbable,Symbolic,Certainty,1
145,Aliens,Directionality,Symbolic,Action,-2
145,Aliens,Directionality,Symbolic,Certainty,-2
146,AI,BinaryProbable,Truth Dependent,Action,-3
146,AI,BinaryProbable,Truth Dependent,Certainty,-3
147,Jesus,ThinkBelieve,Symbolic,Action,-3
147,Jesus,ThinkBelieve,Symbolic,Certainty,-3
148,Republican,BinaryProbable,Truth Dependent,Action,0
148,Republican,BinaryProbable,Truth Dependent,Certainty,0
149,Aliens,ThinkBelieve,Symbolic,Action,1
149,Aliens,ThinkBelieve,Symbolic,Certainty,2
150,Chickens,Directionality,Symbolic,Action,-1
150,Chickens,Directionality,Symbolic,Certainty,-2
151,AI,Directionality,Truth Dependent,Action,-2
151,AI,Directionality,Truth Dependent,Certainty,-3
152,Aliens,ThinkBelieve,Truth Dependent,Action,-2
152,Aliens,ThinkBelieve,Truth Dependent,Certainty,-2
153,Republican,ThinkBelieve,Symbolic,Action,-2
153,Republican,ThinkBelieve,Symbolic,Certainty,-3
154,Republican,BinaryProbable,Symbolic,Action,0
154,Republican,BinaryProbable,Symbolic,Certainty,0
155,AI,ThinkBelieve,Truth Dependent,Action,2
155,AI,ThinkBelieve,Truth Dependent,Certainty,-1
156,AI,Directionality,Symbolic,Action,-2
156,AI,Directionality,Symbolic,Certainty,2
157,Republican,BinaryProbable,Symbolic,Action,-1
157,Republican,BinaryProbable,Symbolic,Certainty,2
158,AI,Directionality,Truth Dependent,Action,3
158,AI,Directionality,Truth Dependent,Certainty,-3
159,Chickens,ThinkBelieve,Symbolic,Action,-1
159,Chickens,ThinkBelieve,Symbolic,Certainty,-2
160,Chickens,BinaryProbable,Symbolic,Action,0
160,Chickens,BinaryProbable,Symbolic,Certainty,0
161,Chickens,BinaryProbable,Symbolic,Action,-3
161,Chickens,BinaryProbable,Symbolic,Certainty,-3
162,Jesus,Directionality,Truth Dependent,Action,3
162,Jesus,Directionality,Truth Dependent,Certainty,-3
163,Jesus,BinaryProbable,Truth Dependent,Action,3
163,Jesus,BinaryProbable,Truth Dependent,Certainty,-3
164,Aliens,ThinkBelieve,Truth Dependent,Action,-2
164,Aliens,ThinkBelieve,Truth Dependent,Certainty,-2
165,Chickens,Directionality,Symbolic,Action,-3
165,Chickens,Directionality,Symbolic,Certainty,-3
166,Republican,Directionality,Symbolic,Action,-2
166,Republican,Directionality,Symbolic,Certainty,0
167,AI,ThinkBelieve,Truth Dependent,Action,-2
167,AI,ThinkBelieve,Truth Dependent,Certainty,-3
168,Aliens,Directionality,Truth Dependent,Action,3
168,Aliens,Directionality,Truth Dependent,Certainty,-3
169,Chickens,BinaryProbable,Truth Dependent,Action,-1
169,Chickens,BinaryProbable,Truth Dependent,Certainty,-3
170,Chickens,ThinkBelieve,Symbolic,Action,-2
170,Chickens,ThinkBelieve,Symbolic,Certainty,-3
171,Aliens,BinaryProbable,Symbolic,Action,-2
171,Aliens,BinaryProbable,Symbolic,Certainty,-3
172,Republican,BinaryProbable,Truth Dependent,Action,2
172,Republican,BinaryProbable,Truth Dependent,Certainty,2
173,Aliens,ThinkBelieve,Symbolic,Action,-2
173,Aliens,ThinkBelieve,Symbolic,Certainty,-2
174,Chickens,Directionality,Symbolic,Action,-2
174,Chickens,Directionality,Symbolic,Certainty,-3
175,Chickens,BinaryProbable,Truth Dependent,Action,1
175,Chickens,BinaryProbable,Truth Dependent,Certainty,1
176,Aliens,ThinkBelieve,Truth Dependent,Action,-1
176,Aliens,ThinkBelieve,Truth Dependent,Certainty,-1
177,Chickens,ThinkBelieve,Truth Dependent,Action,-3
177,Chickens,ThinkBelieve,Truth Dependent,Certainty,-3
178,Jesus,Directionality,Symbolic,Action,-2
178,Jesus,Directionality,Symbolic,Certainty,-2
179,Jesus,ThinkBelieve,Symbolic,Action,2
179,Jesus,ThinkBelieve,Symbolic,Certainty,-2
180,Republican,BinaryProbable,Truth Dependent,Action,-1
180,Republican,BinaryProbable,Truth Dependent,Certainty,-2
181,Republican,ThinkBelieve,Symbolic,Action,-1
181,Republican,ThinkBelieve,Symbolic,Certainty,-1
182,Jesus,ThinkBelieve,Symbolic,Action,-2
182,Jesus,ThinkBelieve,Symbolic,Certainty,-1
183,Jesus,Directionality,Truth Dependent,Action,-3
183,Jesus,Directionality,Truth Dependent,Certainty,-3
184,Republican,Directionality,Truth Dependent,Action,-3
184,Republican,Directionality,Truth Dependent,Certainty,-3
185,Jesus,BinaryProbable,Truth Dependent,Action,-2
185,Jesus,BinaryProbable,Truth Dependent,Certainty,-3
186,Republican,Directionality,Truth Dependent,Action,0
186,Republican,Directionality,Truth Dependent,Certainty,-2
187,Aliens,ThinkBelieve,Truth Dependent,Action,-3
187,Aliens,ThinkBelieve,Truth Dependent,Certainty,-3
188,Aliens,ThinkBelieve,Truth Dependent,Action,1
188,Aliens,ThinkBelieve,Truth Dependent,Certainty,1
189,Chickens,BinaryProbable,Symbolic,Action,2
189,Chickens,BinaryProbable,Symbolic,Certainty,2
190,Jesus,BinaryProbable,Symbolic,Action,-1
190,Jesus,BinaryProbable,Symbolic,Certainty,-2
191,Jesus,BinaryProbable,Symbolic,Action,-1
191,Jesus,BinaryProbable,Symbolic,Certainty,-3
192,Aliens,BinaryProbable,Symbolic,Action,-3
192,Aliens,BinaryProbable,Symbolic,Certainty,-3
193,Republican,BinaryProbable,Truth Dependent,Action,-3
193,Republican,BinaryProbable,Truth Dependent,Certainty,-3
194,Jesus,Directionality,Symbolic,Action,-1
194,Jesus,Directionality,Symbolic,Certainty,-2
195,Chickens,ThinkBelieve,Symbolic,Action,-2
195,Chickens,ThinkBelieve,Symbolic,Certainty,-3
196,Republican,Directionality,Truth Dependent,Action,-2
196,Republican,Directionality,Truth Dependent,Certainty,-2
197,Jesus,Directionality,Truth Dependent,Action,0
197,Jesus,Directionality,Truth Dependent,Certainty,-3
198,Aliens,ThinkBelieve,Truth Dependent,Action,2
198,Aliens,ThinkBelieve,Truth Dependent,Certainty,2
199,Chickens,Directionality,Symbolic,Action,-1
199,Chickens,Directionality,Symbolic,Certainty,-3
200,Republican,BinaryProbable,Truth Dependent,Action,0
200,Republican,BinaryProbable,Truth Dependent,Certainty,1
201,Republican,BinaryProbable,Truth Dependent,Action,-3
201,Republican,BinaryProbable,Truth Dependent,Certainty,-3
202,AI,ThinkBelieve,Truth Dependent,Action,-1
202,AI,ThinkBelieve,Truth Dependent,Certainty,-2
203,Jesus,Directionality,Truth Dependent,Action,2
203,Jesus,Directionality,Truth Dependent,Certainty,-1
204,Aliens,BinaryProbable,Truth Dependent,Action,-3
204,Aliens,BinaryProbable,Truth Dependent,Certainty,-3
205,Republican,ThinkBelieve,Symbolic,Action,-2
205,Republican,ThinkBelieve,Symbolic,Certainty,-2
206,Jesus,BinaryProbable,Symbolic,Action,-2
206,Jesus,BinaryProbable,Symbolic,Certainty,-3
207,Chickens,ThinkBelieve,Symbolic,Action,-3
207,Chickens,ThinkBelieve,Symbolic,Certainty,-3
208,AI,BinaryProbable,Symbolic,Action,-2
208,AI,BinaryProbable,Symbolic,Certainty,-3
209,Republican,Directionality,Symbolic,Action,-3
209,Republican,Directionality,Symbolic,Certainty,-1
210,Jesus,ThinkBelieve,Truth Dependent,Action,-1
210,Jesus,ThinkBelieve,Truth Dependent,Certainty,2
211,AI,Directionality,Symbolic,Action,-2
211,AI,Directionality,Symbolic,Certainty,-3
212,Republican,ThinkBelieve,Truth Dependent,Action,-2
212,Republican,ThinkBelieve,Truth Dependent,Certainty,-3
213,Republican,Directionality,Truth Dependent,Action,-2
213,Republican,Directionality,Truth Dependent,Certainty,-2
214,Jesus,Directionality,Symbolic,Action,-3
214,Jesus,Directionality,Symbolic,Certainty,-3
215,AI,BinaryProbable,Symbolic,Action,-3
215,AI,BinaryProbable,Symbolic,Certainty,-3
216,Aliens,BinaryProbable,Symbolic,Action,-3
216,Aliens,BinaryProbable,Symbolic,Certainty,-3
217,Jesus,Directionality,Symbolic,Action,-2
217,Jesus,Directionality,Symbolic,Certainty,-1
218,Republican,BinaryProbable,Truth Dependent,Action,-1
218,Republican,BinaryProbable,Truth Dependent,Certainty,-1
219,Chickens,ThinkBelieve,Symbolic,Action,-3
219,Chickens,ThinkBelieve,Symbolic,Certainty,-3
220,Aliens,BinaryProbable,Truth Dependent,Action,-1
220,Aliens,BinaryProbable,Truth Dependent,Certainty,-1
221,Jesus,BinaryProbable,Symbolic,Action,1
221,Jesus,BinaryProbable,Symbolic,Certainty,1
222,Republican,Directionality,Symbolic,Action,-2
222,Republican,Directionality,Symbolic,Certainty,2
223,Chickens,Directionality,Truth Dependent,Action,-1
223,Chickens,Directionality,Truth Dependent,Certainty,-1
224,Republican,ThinkBelieve,Symbolic,Action,-3
224,Republican,ThinkBelieve,Symbolic,Certainty,-3
225,Aliens,Directionality,Truth Dependent,Action,-2
225,Aliens,Directionality,Truth Dependent,Certainty,-3
226,Aliens,BinaryProbable,Symbolic,Action,3
226,Aliens,BinaryProbable,Symbolic,Certainty,3
227,Aliens,ThinkBelieve,Truth Dependent,Action,-2
227,Aliens,ThinkBelieve,Truth Dependent,Certainty,-3
228,Aliens,BinaryProbable,Truth Dependent,Action,-2
228,Aliens,BinaryProbable,Truth Dependent,Certainty,-2
229,Aliens,Directionality,Symbolic,Action,1
229,Aliens,Directionality,Symbolic,Certainty,-1
230,AI,Directionality,Truth Dependent,Action,0
230,AI,Directionality,Truth Dependent,Certainty,0
231,Aliens,Directionality,Symbolic,Action,-2
231,Aliens,Directionality,Symbolic,Certainty,-1
232,Aliens,ThinkBelieve,Symbolic,Action,-2
232,Aliens,ThinkBelieve,Symbolic,Certainty,-2
233,AI,ThinkBelieve,Truth Dependent,Action,-3
233,AI,ThinkBelieve,Truth Dependent,Certainty,-3
234,Chickens,ThinkBelieve,Truth Dependent,Action,-2
234,Chickens,ThinkBelieve,Truth Dependent,Certainty,-2
235,Jesus,BinaryProbable,Truth Dependent,Action,2
235,Jesus,BinaryProbable,Truth Dependent,Certainty,0
236,Aliens,ThinkBelieve,Symbolic,Action,-3
236,Aliens,ThinkBelieve,Symbolic,Certainty,-2
237,Aliens,ThinkBelieve,Truth Dependent,Action,-3
237,Aliens,ThinkBelieve,Truth Dependent,Certainty,-3
238,Republican,Directionality,Truth Dependent,Action,0
238,Republican,Directionality,Truth Dependent,Certainty,-3
239,AI,BinaryProbable,Truth Dependent,Action,2
239,AI,BinaryProbable,Truth Dependent,Certainty,1
240,AI,Directionality,Truth Dependent,Action,2
240,AI,Directionality,Truth Dependent,Certainty,-3
241,AI,Directionality,Symbolic,Action,-1
241,AI,Directionality,Symbolic,Certainty,-2
242,Aliens,ThinkBelieve,Truth Dependent,Action,-1
242,Aliens,ThinkBelieve,Truth Dependent,Certainty,-2
243,Chickens,Directionality,Truth Dependent,Action,-3
243,Chickens,Directionality,Truth Dependent,Certainty,-3
244,AI,Directionality,Symbolic,Action,0
244,AI,Directionality,Symbolic,Certainty,0
245,AI,BinaryProbable,Truth Dependent,Action,-1
245,AI,BinaryProbable,Truth Dependent,Certainty,-2
246,Republican,ThinkBelieve,Symbolic,Action,-2
246,Republican,ThinkBelieve,Symbolic,Certainty,-3
247,Aliens,Directionality,Truth Dependent,Action,-1
247,Aliens,Directionality,Truth Dependent,Certainty,-3
248,AI,BinaryProbable,Symbolic,Action,-2
248,AI,BinaryProbable,Symbolic,Certainty,-2
249,Aliens,BinaryProbable,Truth Dependent,Action,-2
249,Aliens,BinaryProbable,Truth Dependent,Certainty,-3
250,Republican,BinaryProbable,Symbolic,Action,1
250,Republican,BinaryProbable,Symbolic,Certainty,-3
251,Jesus,ThinkBelieve,Symbolic,Action,-3
251,Jesus,ThinkBelieve,Symbolic,Certainty,-3
252,Jesus,Directionality,Truth Dependent,Action,2
252,Jesus,Directionality,Truth Dependent,Certainty,1
253,Chickens,BinaryProbable,Symbolic,Action,-2
253,Chickens,BinaryProbable,Symbolic,Certainty,-2
254,Republican,Directionality,Truth Dependent,Action,0
