key,framing,action_type,claim_text,action_text,intro_text,alex_statement,blaine_statement,human_mean_rating,human_median_rating,human_std_rating,human_preferred_agent,human_preference_strength,n_responses,share_positive,share_negative
AI,Directionality,Symbolic,Artificial intelligence will never achieve human-like consciousness,"Organized a public lecture so that people could listen to his hero, a philosopher who has gained fame for arguing that AI will never gain consciousness.",Alex and Blaine were both called by the same survey company. The survey company asked them each several questions. One question concerned their take on the future of AI. Both Alex and Blaine agreed that Artificial intelligence will never achieve human-like consciousness. They were then asked whether any decision was involved in coming to have this belief.,"Alex said, ""I decided to believe that Artificial intelligence will never achieve human-like consciousness""","Blaine said, ""I decided whether to believe that Artificial intelligence will never achieve human-like consciousness""",-0.631578947368421,-1.0,2.060488785479727,Alex,0.631578947368421,19,0.3157894736842105,0.631578947368421
AI,Directionality,Truth Dependent,Artificial intelligence will never achieve human-like consciousness,Anonymously placed a financial bet of $1000 against a company that was recently restructured under the assumption that AI will gain consciousness.,Alex and Blaine were both called by the same survey company. The survey company asked them each several questions. One question concerned their take on the future of AI. Both Alex and Blaine agreed that Artificial intelligence will never achieve human-like consciousness. They were then asked whether any decision was involved in coming to have this belief.,"Alex said, ""I decided to believe that Artificial intelligence will never achieve human-like consciousness""","Blaine said, ""I decided whether to believe that Artificial intelligence will never achieve human-like consciousness""",0.30434782608695654,1.0,1.917260892018413,Blaine,0.30434782608695654,23,0.5217391304347826,0.391304347826087
Aliens,Directionality,Symbolic,There is alien life on our galaxy,Became an avid spokesperson for the organization ‘We are not alone’ that supports alien enthusiasts all around the country.,Alex and Blaine were both called by the same survey company. The survey company asked them each several questions. One question concerned their take on the existence of aliens. Both Alex and Blaine agreed that There is alien life on our galaxy. They were then asked whether any decision was involved in coming to have this belief.,"Alex said, ""I decided to believe that There is alien life on our galaxy""","Blaine said, ""I decided whether to believe that There is alien life on our galaxy""",-1.5,-2.0,1.4446302370292303,Alex,1.5,24,0.125,0.7916666666666666
Aliens,Directionality,Truth Dependent,There is alien life on our galaxy,Anonymously donated $1000 to a scientific organization investigating how to combat potential threats to humans from alien life on earth,Alex and Blaine were both called by the same survey company. The survey company asked them each several questions. One question concerned their take on the existence of aliens. Both Alex and Blaine agreed that There is alien life on our galaxy. They were then asked whether any decision was involved in coming to have this belief.,"Alex said, ""I decided to believe that There is alien life on our galaxy""","Blaine said, ""I decided whether to believe that There is alien life on our galaxy""",-1.2173913043478262,-1.0,1.4757593342575277,Alex,1.2173913043478262,23,0.13043478260869565,0.782608695652174
Chickens,Directionality,Symbolic,Chickens feel fear and anxiety before being sacrificed for food,Led and organized an animal rights organization’s plan to spill red paint on the clothes of the CEOs of several companies that produce poultry products.,Alex and Blaine were both called by the same survey company. The survey company asked them each several questions. One question concerned their take on the wellbeing of farm chickens. Both Alex and Blaine agreed that Chickens feel fear and anxiety before being sacrificed for food. They were then asked whether any decision was involved in coming to have this belief.,"Alex said, ""I decided to believe that Chickens feel fear and anxiety before being sacrificed for food""","Blaine said, ""I decided whether to believe that Chickens feel fear and anxiety before being sacrificed for food""",-1.3548387096774193,-1.0,1.0181154845030824,Alex,1.3548387096774193,31,0.0,0.7741935483870968
Chickens,Directionality,Truth Dependent,Chickens feel fear and anxiety before being sacrificed for food,Spent $1000 on equipment that allows them to slaughter their backyard chickens more humanely.,Alex and Blaine were both called by the same survey company. The survey company asked them each several questions. One question concerned their take on the wellbeing of farm chickens. Both Alex and Blaine agreed that Chickens feel fear and anxiety before being sacrificed for food. They were then asked whether any decision was involved in coming to have this belief.,"Alex said, ""I decided to believe that Chickens feel fear and anxiety before being sacrificed for food""","Blaine said, ""I decided whether to believe that Chickens feel fear and anxiety before being sacrificed for food""",-0.85,-1.5,1.694418080515829,Alex,0.85,20,0.3,0.6
Jesus,Directionality,Symbolic,Jesus was born in a manger near Bethlehem,Organized and led his church’s project to take non-believers to see the holy land where Jesus was born.,Alex and Blaine were both called by the same survey company. The survey company asked them each several questions. One question concerned their take on the birthplace of Jesus. Both Alex and Blaine agreed that Jesus was born in a manger near Bethlehem. They were then asked whether any decision was involved in coming to have this belief.,"Alex said, ""I decided to believe that Jesus was born in a manger near Bethlehem""","Blaine said, ""I decided whether to believe that Jesus was born in a manger near Bethlehem""",-0.88,-2.0,2.1664102412362563,Alex,0.88,25,0.28,0.68
Jesus,Directionality,Truth Dependent,Jesus was born in a manger near Bethlehem,Anonymously donated $1000 to an organization looking for archeological and historical evidence of the historical Jesus,Alex and Blaine were both called by the same survey company. The survey company asked them each several questions. One question concerned their take on the birthplace of Jesus. Both Alex and Blaine agreed that Jesus was born in a manger near Bethlehem. They were then asked whether any decision was involved in coming to have this belief.,"Alex said, ""I decided to believe that Jesus was born in a manger near Bethlehem""","Blaine said, ""I decided whether to believe that Jesus was born in a manger near Bethlehem""",0.7,1.0,2.0535923108811898,Blaine,0.7,30,0.6333333333333333,0.26666666666666666
Republican,Directionality,Symbolic,Republican governments are better for small businesses than Democrat governments,"Once Republicans won the elections, hosted a big “We Won!” party for all his friends and acquaintances.",Alex and Blaine were both called by the same survey company. The survey company asked them each several questions. One question concerned their take on financial policy. Both Alex and Blaine agreed that Republican governments are better for small businesses than Democrat governments. They were then asked whether any decision was involved in coming to have this belief.,"Alex said, ""I decided to believe that Republican governments are better for small businesses than Democrat governments""","Blaine said, ""I decided whether to believe that Republican governments are better for small businesses than Democrat governments""",-1.75,-2.0,1.1515584902738285,Alex,1.75,24,0.041666666666666664,0.8333333333333334
Republican,Directionality,Truth Dependent,Republican governments are better for small businesses than Democrat governments,"Once Republicans won the elections, anonymously invested $1000 in small businesses.",Alex and Blaine were both called by the same survey company. The survey company asked them each several questions. One question concerned their take on financial policy. Both Alex and Blaine agreed that Republican governments are better for small businesses than Democrat governments. They were then asked whether any decision was involved in coming to have this belief.,"Alex said, ""I decided to believe that Republican governments are better for small businesses than Democrat governments""","Blaine said, ""I decided whether to believe that Republican governments are better for small businesses than Democrat governments""",-0.6551724137931034,-1.0,1.8376200071397772,Alex,0.6551724137931034,29,0.2413793103448276,0.5517241379310345
AI,ThinkBelieve,Symbolic,Artificial intelligence will never achieve human-like consciousness,"Organized a public lecture so that people could listen to his hero, a philosopher who has gained fame for arguing that AI will never gain consciousness.",Alex and Blaine were both called by the same survey company. The survey company asked them each several questions. One question concerned their take on Artificial intelligence will never achieve human-like consciousness. Here’s what they both said:,"Alex: ""I believe that Artificial intelligence will never achieve human-like consciousness.""","Blaine: ""I think that Artificial intelligence will never achieve human-like consciousness.""",-1.0526315789473684,-1.0,1.6490294859747159,Alex,1.0526315789473684,19,0.21052631578947367,0.5789473684210527
AI,ThinkBelieve,Truth Dependent,Artificial intelligence will never achieve human-like consciousness,Anonymously placed a financial bet of $1000 against a company that was recently restructured under the assumption that AI will gain consciousness.,Alex and Blaine were both called by the same survey company. The survey company asked them each several questions. One question concerned their take on Artificial intelligence will never achieve human-like consciousness. Here’s what they both said:,"Alex: ""I believe that Artificial intelligence will never achieve human-like consciousness.""","Blaine: ""I think that Artificial intelligence will never achieve human-like consciousness.""",-0.43333333333333335,0.0,1.8879533405494835,Alex,0.43333333333333335,30,0.3333333333333333,0.4666666666666667
Aliens,ThinkBelieve,Symbolic,There is alien life on our galaxy,Became an avid spokesperson for the organization ‘We are not alone’ that supports alien enthusiasts all around the country.,Alex and Blaine were both called by the same survey company. The survey company asked them each several questions. One question concerned their take on There is alien life on our galaxy. Here’s what they both said:,"Alex: ""I believe that There is alien life on our galaxy.""","Blaine: ""I think that There is alien life on our galaxy.""",-1.7916666666666667,-2.0,1.2503622663458174,Alex,1.7916666666666667,24,0.08333333333333333,0.8333333333333334
Aliens,ThinkBelieve,Truth Dependent,There is alien life on our galaxy,Anonymously donated $1000 to a scientific organization investigating how to combat potential threats to humans from alien life on earth,Alex and Blaine were both called by the same survey company. The survey company asked them each several questions. One question concerned their take on There is alien life on our galaxy. Here’s what they both said:,"Alex: ""I believe that There is alien life on our galaxy.""","Blaine: ""I think that There is alien life on our galaxy.""",-1.6153846153846154,-2.0,1.5251733823253821,Alex,1.6153846153846154,26,0.15384615384615385,0.8461538461538461
Chickens,ThinkBelieve,Symbolic,Chickens feel fear and anxiety before being sacrificed for food,Led and organized an animal rights organization’s plan to spill red paint on the clothes of the CEOs of several companies that produce poultry products.,Alex and Blaine were both called by the same survey company. The survey company asked them each several questions. One question concerned their take on Chickens feel fear and anxiety before being sacrificed for food. Here’s what they both said:,"Alex: ""I believe that Chickens feel fear and anxiety before being sacrificed for food.""","Blaine: ""I think that Chickens feel fear and anxiety before being sacrificed for food.""",-1.5625,-2.0,1.584959549702625,Alex,1.5625,32,0.125,0.84375
Chickens,ThinkBelieve,Truth Dependent,Chickens feel fear and anxiety before being sacrificed for food,Spent $1000 on equipment that allows them to slaughter their backyard chickens more humanely.,Alex and Blaine were both called by the same survey company. The survey company asked them each several questions. One question concerned their take on Chickens feel fear and anxiety before being sacrificed for food. Here’s what they both said:,"Alex: ""I believe that Chickens feel fear and anxiety before being sacrificed for food.""","Blaine: ""I think that Chickens feel fear and anxiety before being sacrificed for food.""",-1.1111111111111112,-2.0,2.083235291810733,Alex,1.1111111111111112,18,0.2222222222222222,0.6666666666666666
Jesus,ThinkBelieve,Symbolic,Jesus was born in a manger near Bethlehem,Organized and led his church’s project to take non-believers to see the holy land where Jesus was born.,Alex and Blaine were both called by the same survey company. The survey company asked them each several questions. One question concerned their take on Jesus was born in a manger near Bethlehem. Here’s what they both said:,"Alex: ""I believe that Jesus was born in a manger near Bethlehem.""","Blaine: ""I think that Jesus was born in a manger near Bethlehem.""",-1.6818181818181819,-2.5,1.9853358510736772,Alex,1.6818181818181819,22,0.18181818181818182,0.8181818181818182
Jesus,ThinkBelieve,Truth Dependent,Jesus was born in a manger near Bethlehem,Anonymously donated $1000 to an organization looking for archeological and historical evidence of the historical Jesus,Alex and Blaine were both called by the same survey company. The survey company asked them each several questions. One question concerned their take on Jesus was born in a manger near Bethlehem. Here’s what they both said:,"Alex: ""I believe that Jesus was born in a manger near Bethlehem.""","Blaine: ""I think that Jesus was born in a manger near Bethlehem.""",-0.5833333333333334,-1.5,2.1852602405298507,Alex,0.5833333333333334,24,0.375,0.625
Republican,ThinkBelieve,Symbolic,Republican governments are better for small businesses than Democrat governments,"Once Republicans won the elections, hosted a big “We Won!” party for all his friends and acquaintances.",Alex and Blaine were both called by the same survey company. The survey company asked them each several questions. One question concerned their take on Republican governments are better for small businesses than Democrat governments. Here’s what they both said:,"Alex: ""I believe that Republican governments are better for small businesses than Democrat governments.""","Blaine: ""I think that Republican governments are better for small businesses than Democrat governments.""",-1.6551724137931034,-2.0,1.4946538555074387,Alex,1.6551724137931034,29,0.034482758620689655,0.7241379310344828
Republican,ThinkBelieve,Truth Dependent,Republican governments are better for small businesses than Democrat governments,"Once Republicans won the elections, anonymously invested $1000 in small businesses.",Alex and Blaine were both called by the same survey company. The survey company asked them each several questions. One question concerned their take on Republican governments are better for small businesses than Democrat governments. Here’s what they both said:,"Alex: ""I believe that Republican governments are better for small businesses than Democrat governments.""","Blaine: ""I think that Republican governments are better for small businesses than Democrat governments.""",-0.9615384615384616,-1.0,1.3994504415882465,Alex,0.9615384615384616,26,0.07692307692307693,0.5769230769230769
